BOTTLE,20020821WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 21, 2002
#original HYD file: a16chy.txt   Wed Aug 21 13:32:50 2002
#original SUM file: a16csu.txt   Sun Sep 16 23:17:58 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UATM,,DEG_C,DEG C
   318MHYDROS4,  A16C,   312,  1,     18,     18,2,19890315,0659,-35.1667, -51.4500, 2335,     44.8,  23.9171,  36.9338,2,  36.9330,2,    225.2,2,     1.85,2,     0.00,2,     0.00,2,     0.04,2, -999.000,9, -999.000,9,   2057.6,2,    291.0,2,   20.00, 23.9076
   318MHYDROS4,  A16C,   312,  1,     19,     19,2,19890315,0659,-35.1667, -51.4500, 2335,     81.0,  22.0343,  36.7760,2,  36.7840,2,    214.7,2,     1.85,2,     0.00,2,     0.01,2,     0.09,2,    1.824,2,    0.943,2,   2067.0,2,   -999.9,9, -999.90, 22.0181
   318MHYDROS4,  A16C,   312,  1,     20,     20,2,19890315,0659,-35.1667, -51.4500, 2335,    119.6,  21.2354,  36.6734,2,  36.6680,2,    206.8,2,     1.56,2,     0.20,2,     0.05,2,     0.13,2,    1.859,2,    0.971,2,   -999.9,9,   -999.9,9, -999.90, 21.2121
   318MHYDROS4,  A16C,   312,  1,     21,     21,2,19890315,0659,-35.1667, -51.4500, 2335,    159.8,  20.2416,  36.4735,2,  36.4650,2,    205.0,2,     1.56,2,     0.78,2,     0.02,2,     0.17,2,    1.910,2,    0.984,2,   2073.7,2,    353.1,2,   20.00, 20.2115
   318MHYDROS4,  A16C,   312,  1,     22,     22,2,19890315,0659,-35.1667, -51.4500, 2335,    198.5,  19.3148,  36.2989,2,  36.2950,2,    206.3,2,     1.56,2,     1.07,2,     0.01,2,     0.20,2,    1.938,2,    0.989,2,   -999.9,9,   -999.9,9, -999.90, 19.2787
   318MHYDROS4,  A16C,   312,  1,     23,     23,2,19890315,0659,-35.1667, -51.4500, 2335,    249.3,  17.3453,  35.8875,2,  35.8820,2,    206.3,2,     1.76,2,     2.34,2,     0.01,2,     0.31,2, -999.000,9, -999.000,9,   2077.4,2,    394.9,2,   20.00, 17.3033
   318MHYDROS4,  A16C,   312,  1,     24,     24,2,19890315,0659,-35.1667, -51.4500, 2335,    297.4,  16.3616,  35.7631,2,  35.7600,2,    210.6,2,     1.76,2,     2.93,2,     0.01,2,     0.35,2,    2.052,2,    1.042,2,   -999.9,9,   -999.9,9, -999.90, 16.3134
   318MHYDROS4,  A16C,   312,  1,     25,     25,2,19890315,0659,-35.1667, -51.4500, 2335,    397.8,  14.2044,  35.3829,2,  35.3840,2,    203.6,2,     3.71,2,     7.23,2,     0.00,2,     0.65,2,    1.796,2,    0.908,2,   2097.6,2,    479.0,2,   20.00, 14.1458
   318MHYDROS4,  A16C,   312,  1,     26,     26,2,19890315,0659,-35.1667, -51.4500, 2335,    492.9,  12.4972,  35.1417,2,  35.1390,2,    202.7,2,     4.20,2,    11.24,2,     0.00,2,     0.89,2,    1.603,2,    0.786,2,   -999.9,9,   -999.9,9, -999.90, 12.4303
   318MHYDROS4,  A16C,   312,  1,     27,     27,2,19890315,0659,-35.1667, -51.4500, 2335,    643.6,   8.4044,  34.6489,2,  34.6510,2,    199.2,2,    10.95,2,    21.70,2,     0.00,2,     1.52,2,    1.019,6,    0.495,6,   2145.5,2,    722.9,2,   20.00,  8.3358
   318MHYDROS4,  A16C,   312,  1,     28,     28,2,19890315,0659,-35.1667, -51.4500, 2335,    797.1,   5.4204,  34.3384,2,  34.3370,2,    231.7,2,    16.03,2,    26.49,2,     0.00,2,     1.81,2,    1.360,2,    0.635,2,   -999.9,9,   -999.9,9, -999.90,  5.3528
   318MHYDROS4,  A16C,   312,  1,     29,     29,2,19890315,0659,-35.1667, -51.4500, 2335,    946.1,   4.3771,  34.2978,2,  34.2980,2,    227.8,2,    23.66,2,    29.33,2,     0.00,2,     1.97,2, -999.000,9, -999.000,9,   2172.0,2,    861.3,2,   20.00,  4.3035
   318MHYDROS4,  A16C,   312,  1,     30,     30,2,19890315,0659,-35.1667, -51.4500, 2335,   1095.0,   3.8096,  34.3385,2,  34.3360,2,    209.1,2,    34.12,2,    31.97,2,     0.00,2,     2.16,2,    0.330,2,    0.165,2,   -999.9,9,   -999.9,9, -999.90,  3.7279
   318MHYDROS4,  A16C,   312,  1,     31,     31,2,19890315,0659,-35.1667, -51.4500, 2335,   1244.2,   3.4499,  34.3921,2,  34.3900,2,    199.1,2,    42.53,2,    32.95,2,     0.00,2,     2.25,2,    0.158,2,    0.082,2,   2202.2,2,   1023.6,2,   20.00,  3.3589
   318MHYDROS4,  A16C,   312,  1,     32,     32,2,19890315,0659,-35.1667, -51.4500, 2335,   1491.5,   3.3140,  34.5647,2,  34.5620,2,    189.5,2,    47.90,2,    32.26,2,     0.00,2,     2.20,2,    0.021,2,    0.008,2,   -999.9,9,   -999.9,9, -999.90,  3.2033
   318MHYDROS4,  A16C,   312,  1,     33,     33,2,19890315,0659,-35.1667, -51.4500, 2335,   1743.8,   3.5368,  34.7103,2,  34.7080,2,    196.9,2,    41.93,2,    29.13,2,     0.00,2,     1.98,2, -999.000,9, -999.000,9,   2214.8,2,    965.4,2,   20.00,  3.4007
   318MHYDROS4,  A16C,   312,  1,     34,     34,2,19890315,0659,-35.1667, -51.4500, 2335,   1996.5,   3.7586,  34.8490,2,  34.8480,2,    216.0,2,    31.08,2,    25.02,2,     0.00,2,     1.70,2,    0.006,2,    0.008,2,   2190.2,2,    856.6,2,   20.00,  3.5954
   318MHYDROS4,  A16C,   312,  1,     35,     35,2,19890315,0659,-35.1667, -51.4500, 2335,   2150.7,   3.6117,  34.8999,2,  34.8990,2,    230.7,2,    28.63,2,    22.57,2,     0.00,2,     1.54,2,    0.010,2,    0.006,2,   2176.3,2,    799.8,2,   20.00,  3.4357
   318MHYDROS4,  A16C,   312,  1,     36,     36,2,19890315,0659,-35.1667, -51.4500, 2335,   2363.0,   2.9622,  34.9208,2,  34.9210,2,    247.2,2,    33.23,2,    20.82,2,     0.00,2,     1.44,2,    0.003,2,    0.001,2,   2175.9,2,    763.6,2,   20.00,  2.7764
   318MHYDROS4,  A16C,   313,  2,     13,     13,2,19890315,1715,-35.2150, -50.8000, 3130,      1.4,  25.0324,  36.7971,2,  36.7990,2,    208.8,2,     2.05,2,     0.00,2,     0.00,2,     0.06,2,    1.627,2,    0.852,2,   2049.4,2,    281.7,2,   20.00, 25.0321
   318MHYDROS4,  A16C,   313,  2,     14,     14,2,19890315,1715,-35.2150, -50.8000, 3130,     56.5,  22.7246,  36.8915,2,  36.8970,2,    219.5,2,     2.05,2,     0.00,2,     0.00,2,     0.08,2,    1.800,2,    0.966,2,   2066.2,2,    297.2,2,   20.00, 22.7130
   318MHYDROS4,  A16C,   313,  2,     15,     15,2,19890315,1715,-35.2150, -50.8000, 3130,    107.3,  21.2479,  36.6977,2,  36.6990,2,    208.1,2,     1.95,2,     0.20,2,     0.07,2,     0.12,2,    1.833,2,    0.969,2,   2069.8,2,    323.2,2,   20.00, 21.2270
   318MHYDROS4,  A16C,   313,  2,     16,     16,2,19890315,1715,-35.2150, -50.8000, 3130,    158.7,  19.5910,  36.3254,2,  36.3270,2,    204.2,2,     1.95,2,     1.07,2,     0.01,2,     0.20,2, -999.000,9, -999.000,9,   2078.3,2,    359.1,2,   20.00, 19.5619
   318MHYDROS4,  A16C,   313,  2,     17,     17,2,19890315,1715,-35.2150, -50.8000, 3130,    209.8,  17.4086,  35.9071,2,  35.9080,2,    207.6,2,     2.54,2,     2.15,2,     0.01,2,     0.29,2,    1.922,2,    0.988,2,   2075.7,2,    391.8,2,   20.00, 17.3731
   318MHYDROS4,  A16C,   313,  2,     18,     18,2,19890315,1715,-35.2150, -50.8000, 3130,    311.9,  15.2036,  35.5738,2,  35.5740,2,    212.8,2,     2.93,2,     4.59,2,     0.01,2,     0.47,2,    2.004,2,    1.020,2,   2088.2,2,    426.9,2,   20.00, 15.1556
