BOTTLE,20020821WHPSIO
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020821
#original HYD file: a16nhy.txt   Wed Aug 21 13:33:22 2002
#original SUM file: a16nsu.txt   Wed Aug 21 13:34:13 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,CTDOXY,OXYGEN,SILCAT,NITRAT,NITRIT,PHSPHT,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,DBAR,IPTS-68,PSS-78,PSS-78,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,PMOL/KG,,PMOL/KG,,IPTS-68
     32OC202_1,  A16N,     4,  1,     24,     24,19880724,0317, 62.9883, -20.0117, 1237,   1244.8,   4.4120,  35.0010,-999.0000,   -999.0,    274.2,  -999.00,  -999.00,  -999.00,  -999.00,    2.714,2,    1.245,2,  4.3110
     32OC202_1,  A16N,     4,  1,     99,   -999,19880724,0317, 62.9883, -20.0117, 1237,   1246.4,   4.4120,  35.0000,-999.0000,   -999.0,   -999.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  4.3100
     32OC202_1,  A16N,     5,  1,      1,      1,19880724,0618, 62.6717, -19.9983, 1481,      4.6,  10.9540,-999.0000,  35.0890,   -999.0,    282.3,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9, 10.9530
     32OC202_1,  A16N,     5,  1,      2,      2,19880724,0618, 62.6717, -19.9983, 1481,     34.1,   9.7420,-999.0000,  35.1320,   -999.0,    285.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  9.7380
     32OC202_1,  A16N,     5,  1,      3,      3,19880724,0618, 62.6717, -19.9983, 1481,     64.3,   9.1110,-999.0000,  35.1380,   -999.0,    278.2,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  9.1040
     32OC202_1,  A16N,     5,  1,      4,      4,19880724,0618, 62.6717, -19.9983, 1481,     84.4,   8.5240,-999.0000,  35.1630,   -999.0,    271.3,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  8.5150
     32OC202_1,  A16N,     5,  1,      5,      5,19880724,0618, 62.6717, -19.9983, 1481,    134.9,   8.0820,-999.0000,  35.1620,   -999.0,    273.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  8.0690
     32OC202_1,  A16N,     5,  1,      6,      6,19880724,0618, 62.6717, -19.9983, 1481,    185.1,   7.8570,-999.0000,  35.1440,   -999.0,    271.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.8390
     32OC202_1,  A16N,     5,  1,      7,      7,19880724,0618, 62.6717, -19.9983, 1481,    234.9,   7.7370,-999.0000,  35.1430,   -999.0,    271.2,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.7140
     32OC202_1,  A16N,     5,  1,      8,      8,19880724,0618, 62.6717, -19.9983, 1481,    285.3,   7.6350,-999.0000,  35.1410,   -999.0,    272.1,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.6070
     32OC202_1,  A16N,     5,  1,      9,      9,19880724,0618, 62.6717, -19.9983, 1481,    336.3,   7.4980,-999.0000,  35.1360,   -999.0,    271.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.4650
     32OC202_1,  A16N,     5,  1,     10,     10,19880724,0618, 62.6717, -19.9983, 1481,    386.9,   7.4160,-999.0000,  35.1350,   -999.0,    269.9,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.3780
     32OC202_1,  A16N,     5,  1,     11,     11,19880724,0618, 62.6717, -19.9983, 1481,    437.2,   7.3390,-999.0000,  35.1360,   -999.0,    269.9,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.2970
     32OC202_1,  A16N,     5,  1,     12,     12,19880724,0618, 62.6717, -19.9983, 1481,    488.1,   7.2920,-999.0000,  35.1370,   -999.0,    271.2,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.2450
     32OC202_1,  A16N,     5,  1,     13,     13,19880724,0618, 62.6717, -19.9983, 1481,    538.5,   7.2060,-999.0000,  35.1310,   -999.0,    267.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.1540
     32OC202_1,  A16N,     5,  1,     14,     14,19880724,0618, 62.6717, -19.9983, 1481,    588.7,   7.1260,-999.0000,  35.1300,   -999.0,    264.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.0680
     32OC202_1,  A16N,     5,  1,     15,     15,19880724,0618, 62.6717, -19.9983, 1481,    638.3,   7.0050,-999.0000,  35.1230,   -999.0,    259.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.9430
     32OC202_1,  A16N,     5,  1,     16,     16,19880724,0618, 62.6717, -19.9983, 1481,    688.1,   6.7780,-999.0000,  35.1120,   -999.0,    249.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.7120
     32OC202_1,  A16N,     5,  1,     17,     17,19880724,0618, 62.6717, -19.9983, 1481,    788.2,   6.2640,-999.0000,  35.0900,   -999.0,    247.3,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.1910
     32OC202_1,  A16N,     5,  1,     18,     18,19880724,0618, 62.6717, -19.9983, 1481,    889.3,   5.6160,-999.0000,  35.0670,   -999.0,    263.8,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.5370
